You didn't specify a land-sea mask. It's faster if you do,so this might take a while.
         28372578 function calls (28300302 primitive calls) in 300.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.024    0.004 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:194(comparison_op)
        6    0.000    0.000    0.023    0.004 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:118(_na_arithmetic_op)
        1    0.000    0.000    0.023    0.023 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/api.py:1(<module>)
        1    0.000    0.000    0.023    0.023 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/__init__.py:1(<module>)
      220    0.001    0.000    0.023    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/util/_decorators.py:473(__call__)
        4    0.000    0.000    0.022    0.006 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arraylike.py:27(__eq__)
        1    0.000    0.000    0.021    0.021 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/categorical.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/numeric.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/index_tricks.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/excel/__init__.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/interval.py:1(<module>)
        1    0.000    0.000    0.019    0.019 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/window/ewm.py:1(<module>)
        1    0.000    0.000    0.019    0.019 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/_distributor_init.py:1(<module>)
    14883    0.016    0.000    0.018    0.000 {method 'join' of 'str' objects}
      670    0.018    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.018    0.018 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/computation/expressions.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/mkl/__init__.py:26(<module>)
   109084    0.017    0.000    0.017    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.017    0.017 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/arrays/base.py:1(<module>)
  367/263    0.002    0.000    0.017    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:347(__getitem__)
        1    0.000    0.000    0.017    0.017 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/computation/check.py:1(<module>)
     9016    0.015    0.000    0.016    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:282(descr_to_dtype)
      484    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.016    0.016 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/npyio.py:1(<module>)
        1    0.000    0.000    0.016    0.016 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/indexes/base.py:1(<module>)
      640    0.009    0.000    0.016    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/util.py:433(_flush_std_streams)
      190    0.001    0.000    0.015    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/util/_decorators.py:356(decorator)
       56    0.001    0.000    0.015    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:415(_write_array_header)
   119578    0.015    0.000    0.015    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.015    0.015 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numexpr/__init__.py:11(<module>)
       59    0.000    0.000    0.015    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_compile.py:598(_code)
      579    0.003    0.000    0.015    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/typing.py:659(__init__)
     9084    0.005    0.000    0.015    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/abc.py:96(__instancecheck__)
        1    0.000    0.000    0.014    0.014 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/io/formats/format.py:1(<module>)
        1    0.000    0.000    0.014    0.014 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/series.py:1(<module>)
    18144    0.014    0.000    0.014    0.000 {method 'readline' of '_io.StringIO' objects}
     9092    0.014    0.000    0.014    0.000 {built-in method builtins.sorted}
      393    0.014    0.000    0.014    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.013    0.013 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/algorithms.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/secrets.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/shape_base.py:1(<module>)
    11406    0.013    0.000    0.013    0.000 {built-in method builtins.min}
   704/59    0.005    0.000    0.013    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/sre_compile.py:71(_compile)
        1    0.000    0.000    0.012    0.012 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/compat/__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/pandas/core/computation/api.py:3(<module>)
